r,theta_deg,Y1,Y2,J,lam1,lam2
0.00015000000000000004,2,0.025000452251186595,0.00022657098041603294,48.07449700938445,43.283904510752315,1.1106783815549819
0.00016907990516190437,2,0.025021630093103302,0.00023902911588985186,44.97912397155465,40.51621522417255,1.1101511758363867
0.0001905867621970569,2,0.02504548867190541,0.0002518469826217511,41.856888466906526,37.728486534686965,1.1094240005738183
0.00021482927784928529,2,0.02507235944519014,0.0002663142526439592,39.38962251497453,35.53861050420098,1.1083613556111123
0.00024215542616505008,2,0.025102616991723174,0.0002811539004148756,36.888087085783354,33.319401989659035,1.1071053165129827
0.00027295744326951457,2,0.02513668085482087,0.00029737683678189905,34.52163580663847,31.223493402097084,1.1056301536175428
0.0003076774574749694,2,0.025175023459238728,0.000314536417395493,32.32519848766835,29.28005964946204,1.104000431510796
0.0003468138355354908,2,0.02521817512238177,0.0003326837935355728,30.306254804692355,27.497385158743494,1.1021504273854916
0.0003909283361411804,2,0.02526673213025159,0.0003524311352749018,28.428466272806446,25.839246247069056,1.100204936358443
0.0004406541733323451,2,0.025321362826202072,0.0003729260447262578,26.665065462893168,24.28362623311879,1.0980676941290872
0.0004967051055748684,2,0.025382820177351474,0.00039539312687022625,25.005152509056607,22.819239820750074,1.0957925288255286
0.0005598856809602161,2,0.02545194552327201,0.00041875003249819116,23.462898554299002,21.458574636822227,1.0934043360940555
0.0006311027855884098,2,0.025529687857467502,0.00044403767578221127,21.992078978162457,20.16154974464808,1.0907930817173348
0.000711378660898013,2,0.025617107705024404,0.0004709177685195118,20.63611050898855,18.964055758431613,1.0881696812040598
0.0008018655767922561,2,0.025715397134089723,0.0004991745950242766,19.37132597589289,17.849128800608774,1.0852813149755691
0.0009038623711775357,2,0.025825895758634553,0.000529946737595964,18.18995061819225,16.8056753286389,1.082369512827268
0.0010188330933207446,2,0.025950097623835197,0.0005618798299798656,17.078583989041974,15.824384967875796,1.0792573628430047
0.001148428018629873,2,0.026089692459362258,0.0005967684634687705,16.02734562586549,14.895209694708266,1.0760067131890898
0.0012945073365014173,2,0.026246556167784613,0.0006332776990531219,15.021843720065363,14.003936418511435,1.07268722672923
0.0014591678512469919,2,0.026422811859022188,0.0006724074258544376,14.114903679559513,13.202816085644434,1.0690828068798695
0.0016447730793609408,2,0.02662082404712344,0.000714348693920981,13.259893216146242,12.44398874767056,1.0655661528646396
0.0018539871751413412,2,0.026843248170957505,0.0007583133745821908,12.45411738743402,11.729983514453913,1.0617335797691296
0.0020898131716285636,2,0.027093074975734086,0.0008062932192627668,11.699879658262937,11.05928226419635,1.0579239573385755
0.0023556360857670375,2,0.02737362131186833,0.0008561994963594412,10.99148182591317,10.429043691691039,1.0539299815830914
0.002655271506516335,2,0.02768866063328379,0.0009106573610869419,10.31968841206604,9.830163098257207,1.0497982901113407
0.002993020363339258,2,0.028042356965608646,0.0009680119966461641,9.683707866795691,9.260600454063356,1.0456889825698783
0.0033737306612070007,2,0.02843944561011114,0.0010292637351168132,9.100006122256444,8.739491332938345,1.0412512325470664
0.003802867068257919,2,0.02888519491055081,0.0010954425740231574,8.56054703210844,8.254445979684245,1.0370831735015948
0.004286589354962516,2,0.029385515625718436,0.0011648462425176455,8.04839585462913,7.794369256938949,1.0325910396744455
0.004831840810700605,2,0.029947108360674376,0.001240842997852876,7.569073073920599,7.361251477021,1.0282318295398982
0.0054464479068711815,2,0.03057736088420949,0.0013203399809597807,7.120940474737862,6.955437614464514,1.0237947444067597
0.006139232637086878,2,0.031284765208511145,0.0014071580295131954,6.69578416058936,6.569108993672331,1.0192834624968243
0.006920139146970107,2,0.03207865043818635,0.0014994202779095786,6.2985219307166105,6.2053893548693155,1.0150083371922847
0.007800376471179239,2,0.03296970292059459,0.0015980610530183896,5.932179243971743,5.870831445215441,1.0104495929288333
0.008792579426494238,2,0.03396985985241907,0.0017055048565507952,5.594642660557463,5.5588779841565055,1.0064337941042936
0.009910989970401044,2,0.03509250077390513,0.0018188489515903227,5.276004942448349,5.264361394062393,1.0022117684395848
0.011171661628373283,2,0.036352970199843695,0.0019436127610870466,4.978492601044434,4.986933156110706,0.9983074657706349
0.01259268992417493,2,0.03776812993594199,0.0020755882374952927,4.691037986291608,4.71667375432401,0.9945648630014119
0.01419447212075176,2,0.03935758014394646,0.0022200561803559947,4.441150933292688,4.48205535477837,0.9908737357645363
0.016,2,0.04114288345474949,0.0023756442175277607,4.2008506787061926,4.253065918530617,0.9877229178139646
