r,theta_deg,Y1,Y2,J,lam1,lam2
0.00015000000000000004,45,0.12710861128170106,0.0054706967878960415,6.872544908028683,46.79717369370873,0.14685811910342975
0.00016907990516190437,45,0.1271040243102787,0.005764708205892206,6.627739492677384,43.83919837702295,0.15118295356750044
0.0001905867621970569,45,0.1270989964903814,0.006079160905763487,6.455996884087672,40.8942559859479,0.15787050597798274
0.00021482927784928529,45,0.12709349825452654,0.006414785492987612,6.2381928992611835,38.4812087630239,0.16211010775845733
0.00024215542616505008,45,0.12708749662698585,0.006772854149556456,6.045878876822054,36.034763003281334,0.16777906590550268
0.00027295744326951457,45,0.12708095769318087,0.007154892527999358,5.827168808416245,33.85720172453694,0.17211017188670838
0.0003076774574749694,45,0.1270738523728773,0.007561814643457526,5.673734357182743,31.76907247927455,0.17859301246158205
0.0003468138355354908,45,0.12706615039237495,0.007995024464474984,5.48524307158348,29.85975208100469,0.18370022151217336
0.0003909283361411804,45,0.1270578225774689,0.008456405784316539,5.2978743374700015,28.002019846830795,0.18919614965081646
0.0004406541733323451,45,0.12704885003456518,0.0089472349280844,5.168131896843085,26.297420873926043,0.19652618869410624
0.0004967051055748684,45,0.12703922062645023,0.009468952945769988,5.001575419366078,24.743397802000135,0.20213777668642474
0.0005598856809602161,45,0.1270289267464322,0.010023833204553677,4.855716659664721,23.151984943245015,0.20973219668068518
0.0006311027855884098,45,0.1270179776360937,0.01061371249072831,4.7022413004508286,21.846385337706757,0.21524115901834057
0.000711378660898013,45,0.1270064047743595,0.011240003954138445,4.565007734372229,20.534278834030488,0.22231156843977984
0.0008018655767922561,45,0.12699424956829825,0.011905418796509519,4.416902323649713,19.29066695384229,0.22896576537340865
0.0009038623711775357,45,0.12698158110097124,0.012612469427234999,4.300380790115854,18.100425048311095,0.23758451962520136
0.0010188330933207446,45,0.126968517220301,0.013362626207654509,4.169769836357132,17.056829633262378,0.24446335725990442
0.001148428018629873,45,0.1269551990386127,0.014159036594040499,4.046065503916997,15.998890461007289,0.25289663141191965
0.0012945073365014173,45,0.1269418139905496,0.01500500401062835,3.9191897413366705,15.0730528835535,0.2600130027814705
0.0014591678512469919,45,0.12692864095923845,0.015902237710079047,3.8108960102920952,14.179442090704123,0.26876205607488185
0.0016447730793609408,45,0.12691601252413923,0.016854292214804275,3.693962925707837,13.332996018256111,0.2770542285207415
0.0018539871751413412,45,0.1269043389271932,0.01786538029649262,3.5892202950079213,12.491865545590237,0.28732460191061826
0.0020898131716285636,45,0.12689418638692793,0.01893777132456679,3.4867213495144287,11.78519888738206,0.2958559616034687
0.0023556360857670375,45,0.12688623935379992,0.02007536732303087,3.3821156978376905,11.090120705556942,0.30496653622020553
0.002655271506516335,45,0.12688131216174078,0.02128341850340008,3.283226544380517,10.381737790197802,0.31625018958584605
0.002993020363339258,45,0.12688046754778193,0.022565280048746434,3.1926359904078585,9.799934665687156,0.325781354602944
0.0033737306612070007,45,0.12688501673734298,0.023925115169621838,3.099739617615803,9.226809474843412,0.335949238582101
0.003802867068257919,45,0.1268964849707076,0.025369400179658434,3.005577120220006,8.667293760243956,0.3467722686412542
0.004286589354962516,45,0.12691677999340614,0.026903300146559776,2.9269564996045605,8.151571740752233,0.3590665202603524
0.004831840810700605,45,0.12694829643505495,0.028531248286650636,2.8447526002811903,7.679475882556961,0.37043577501723846
0.0054464479068711815,45,0.12699378052784174,0.030261353072983277,2.7611600217454604,7.218118290045114,0.38253183320000594
0.006139232637086878,45,0.12705657113247723,0.03210119322494481,2.687814602576481,6.784344780414746,0.3961789516263608
0.006920139146970107,45,0.12714088002196786,0.03405608868879962,2.6154529656354857,6.3962609497972,0.4089034181318726
0.007800376471179239,45,0.12725151949278699,0.03613627149917783,2.5416452341616345,6.016707919096646,0.422431214600699
0.008792579426494238,45,0.12739421660155864,0.03835259481966497,2.473676608083728,5.652671293699826,0.4376119677860572
0.009910989970401044,45,0.12757617050884185,0.04071243647047599,2.4104352790896675,5.334732203523366,0.45183810304436406
0.011171661628373283,45,0.1278056299588362,0.04322896655552513,2.345741202284047,5.023645160362046,0.46694006590923165
0.01259268992417493,45,0.12809224059839724,0.045917647684067864,2.283252140303657,4.719250586567497,0.4838166777586517
0.01419447212075176,45,0.12844800422659966,0.04878996013667005,2.2284871158597435,4.4601716603124935,0.49964155767574325
0.016,45,0.12888676764011509,0.0518634368683415,2.1722963495186876,4.20669753691268,0.5163899544612716
