r,theta_deg,Y1,Y2,J,lam1,lam2,n_cells,n_steps,n_r,n_theta_base,n_sectors,angular_scheme,corner_angle_right,corner_angle_left
0.00015000000000000004,135,0.19051480566935197,0.016848763092215224,7.429895538614212,54.106927324560615,0.1373187483752602,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00016907990516190437,135,0.19046979588534851,0.017754951658378093,7.336084102126856,51.11274004430469,0.14352750597601507,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0001905867621970569,135,0.19041925195456905,0.018724073919361962,6.900908175058294,48.40379654896887,0.1425695641056175,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00021482927784928529,135,0.19036253053295565,0.019758153932764737,6.862024726361875,45.77483872656408,0.1499082228852813,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00024215542616505008,135,0.19029887363873635,0.02086140874323197,6.720331679226459,43.17240068461063,0.15566268200685654,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00027295744326951457,135,0.1902274603481091,0.022038442820459712,6.318917117697547,40.78827190072718,0.15491995182009782,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003076774574749694,135,0.19014741527902793,0.023291478581194843,6.238670984705678,38.53008924884446,0.1619168578720614,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003468138355354908,135,0.19005767250116556,0.024625364628972735,6.144408946627008,36.307602472344804,0.16923202107087146,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003909283361411804,135,0.1899570798014952,0.02604584966107615,5.712884502243711,34.173019270023616,0.1671752927977185,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004406541733323451,135,0.1898444461749692,0.027555820845158716,5.8064342467273855,32.310123894919286,0.17970943923364419,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004967051055748684,135,0.18971828936247745,0.029160395037552748,5.609830529245065,30.43328963788623,0.18433204546729376,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0005598856809602161,135,0.18957701341443325,0.03086649760532913,5.504151510006094,28.592956387598047,0.19250025899373957,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0006311027855884098,135,0.18941895641894446,0.032678510503271196,5.202084707760435,27.028939860574503,0.19246351261230013,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.000711378660898013,135,0.18924212197748197,0.03460115576000015,5.116313768814934,25.441911117818265,0.20109785562580906,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0008018655767922561,135,0.18904429518914317,0.03664277228681886,4.847464454991138,23.929419981349657,0.20257342044943363,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0009038623711775357,135,0.18882316473670374,0.03880963167247627,4.877275181219415,22.53707331755488,0.21641120444076425,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0010188330933207446,135,0.1885760698382336,0.041105912166769225,4.662427441415662,21.22138188568317,0.2197042335193874,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.001148428018629873,135,0.18829995481689532,0.0435413851976325,4.444486716204857,19.950527164393026,0.2227754023531084,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0012945073365014173,135,0.187991622418407,0.04612452023054284,4.460396435348872,18.7593196735137,0.23776962666974177,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
