r,theta_deg,Y1,Y2,J,lam1,lam2
0.00015000000000000004,45,0.1887917028960629,0.0076735949114677985,8.14188311978836,65.56280569135886,0.12418448286291045
0.00016907990516190437,45,0.18878256246943173,0.008081637984963549,7.819153254834831,61.36681135973796,0.12741664560187263
0.0001905867621970569,45,0.18877240323920888,0.008517540287633527,7.683860396414638,57.23272820429768,0.13425640603777197
0.00021482927784928529,45,0.18876113267675407,0.008981993316794622,7.383585387716613,53.805932309510716,0.1372262326991048
0.00024215542616505008,45,0.18874862237729081,0.009477153053047353,7.161832239777413,50.31935902075329,0.14232757290934672
0.00027295744326951457,45,0.18873475319139477,0.010004878042787142,6.859638285600002,47.27483691869543,0.14510125751259592
0.0003076774574749694,45,0.1887194176805211,0.010565740009328809,6.706056020249723,44.31600618481975,0.15132356449944107
0.0003468138355354908,45,0.18870244785148824,0.01116221876156988,6.495126190089096,41.525958228979924,0.1564112296766274
0.0003909283361411804,45,0.18868368744080083,0.011796729525792011,6.216796637855773,38.97400573639933,0.15951135944048073
0.0004406541733323451,45,0.18866301340082187,0.012469994111467252,6.0967712089524655,36.579778885528086,0.16667053204530421
0.0004967051055748684,45,0.18864022072732126,0.013184589623348278,5.87771481888248,34.37528657004206,0.1709866420139948
0.0005598856809602161,45,0.1886151223885127,0.013943409267026476,5.663600775847852,32.225984468507185,0.1757464005913578
0.0006311027855884098,45,0.18858756757740502,0.014747961193642092,5.545378957358591,30.228822583097,0.18344674001480762
0.000711378660898013,45,0.18855734255931728,0.015600377117476534,5.3518540130942185,28.425591891023295,0.18827590410800754
0.0008018655767922561,45,0.18852423149663564,0.016504193920788748,5.161265309207645,26.66334833008845,0.19357153667686894
0.0009038623711775357,45,0.1884880642461788,0.017461847752406338,5.0442501706204155,24.989917243692318,0.2018514155701678
0.0010188330933207446,45,0.1884486451616863,0.018475043311436932,4.873190154443683,23.51011270327758,0.2072805952037603
0.001148428018629873,45,0.18840575057394554,0.01954791310426173,4.703401107025339,22.060973870430104,0.21320006698930064
0.0012945073365014173,45,0.1883592170895967,0.02068393319724362,4.587963936551723,20.654551712233317,0.22212846836239614
0.0014591678512469919,45,0.18830891875711844,0.021884525568969002,4.4340334574938005,19.439924473391567,0.22808902696939515
0.0016447730793609408,45,0.1882546765975253,0.023154294537566296,4.285276284301201,18.244075587362403,0.23488590933426676
0.0018539871751413412,45,0.1881963958942195,0.024497829364785808,4.172055735829362,17.059850906751056,0.24455405610714437
0.0020898131716285636,45,0.18813411402033284,0.025916591303509425,4.038103015498788,16.058483468124372,0.2514622892949001
0.0023556360857670375,45,0.18806780676408913,0.02741543584366431,3.9031409453794903,15.074365865876056,0.2589257140305727
0.002655271506516335,45,0.18799757423931793,0.029000093228472554,3.792790327488533,14.07627608334677,0.26944557673002484
0.002993020363339258,45,0.18792377939177665,0.030672638938484337,3.6742246176101148,13.252095634998835,0.2772561199986204
0.0033737306612070007,45,0.18784676347132906,0.032437843164771794,3.5539402414578833,12.440822914508546,0.2856676174783764
0.003802867068257919,45,0.18776707406593315,0.034302458492223034,3.4452504928637486,11.615242238998974,0.29661460535849105
0.004286589354962516,45,0.18768562841938458,0.0362704055754723,3.336684261376007,10.936250403706284,0.3051031329938214
0.004831840810700605,45,0.187603559741491,0.03834561590844041,3.2351694576504575,10.253376719173033,0.31552234412697927
0.0054464479068711815,45,0.1875222694223446,0.04053621245349225,3.134325851184869,9.576528062713802,0.32729250419977135
0.006139232637086878,45,0.18744370173537034,0.0428484920603572,3.0351177718488107,9.003428528153792,0.33710688793251975
0.006920139146970107,45,0.18737042775225551,0.04528591003766723,2.945354418929273,8.435640606970336,0.34915598662366115
0.007800376471179239,45,0.18730542732276753,0.04785813433300224,2.8482577647749663,7.901174110395532,0.36048538166340893
0.008792579426494238,45,0.18725249608257322,0.050574440439493606,2.7652725143264996,7.386159534365637,0.3743857009127045
0.009910989970401044,45,0.18721668601651742,0.05343881971149343,2.6812510217176273,6.935593834467894,0.386592855018784
0.011171661628373283,45,0.18720378946777932,0.056462805390723556,2.5955642565911723,6.494723765381423,0.3996419786821752
0.01259268992417493,45,0.1872208368416396,0.059659601420945216,2.517146298440147,6.063126402091716,0.4151564937804648
0.01419447212075176,45,0.18727703113066602,0.06303565175073611,2.4430522812518207,5.69761488176745,0.4287850849782173
0.016,45,0.18738302376207644,0.06660511745773767,2.3678918982880703,5.335149807027395,0.44382856788184577
