r,theta_deg,Y1,Y2,J,lam1,lam2,n_cells,n_steps,n_r,n_theta_base,n_sectors,angular_scheme,corner_angle_right,corner_angle_left
0.00015000000000000004,178,0.12712314113832443,0.01424460126829152,6.423553555584677,41.229441842152625,0.15580015805651604,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.00016907990516190437,178,0.12707068876845717,0.015009128408828174,6.257149501356876,39.11448389357424,0.1599701409429781,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0001905867621970569,178,0.1270117701603452,0.01582525937820891,6.114999258073638,37.10148063018147,0.16481820008842177,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.00021482927784928529,178,0.12694549276160208,0.01669662228808279,5.91983427340917,35.054487056990645,0.16887522170213104,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.00024215542616505008,178,0.12687115365642604,0.017626302892632544,5.775202581135882,33.21852632816632,0.17385487014260723,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.00027295744326951457,178,0.12678765108204904,0.018616030437982396,5.608730887295069,31.402350715613675,0.1786086315030363,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0003076774574749694,178,0.12669382616667627,0.019670787246974835,5.435690518789441,29.606179643884968,0.18359986273721365,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0003468138355354908,178,0.1265887422243511,0.02079267312296918,5.307683432734636,28.019492351086893,0.18942825109843717,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0003909283361411804,178,0.12647070854610418,0.02198517991800787,5.141229408948251,26.41153210027,0.19465850710345076,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0004406541733323451,178,0.12633833942126418,0.023253939586540335,4.992417140671683,24.90471743507828,0.20046070202089472,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0004967051055748684,178,0.12619005798517186,0.024600282979957,4.8550261381970685,23.50959877687185,0.20651250513779287,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0005598856809602161,178,0.12602362076390664,0.026029962031930833,4.701035828317695,22.10619015121898,0.2126569886607902,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0006311027855884098,178,0.1258373518448397,0.027548176628653588,4.573695416657491,20.857484996405063,0.21928316944465512,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.000711378660898013,178,0.12562863545696504,0.02915670848039383,4.436029346970569,19.643444275586997,0.22582747122838503,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
0.0008018655767922561,178,0.12539457291565898,0.030863519894025537,4.290295352974178,18.441110294027617,0.23264842976198805,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.896613990462929
