r,theta_deg,Y1,Y2,J,lam1,lam2
0.00015000000000000004,45,0.07708988418658688,0.0044813709147273504,6.2449135745800834,38.36035267960968,0.16279604170310324
0.00016907990516190437,45,0.07708710739232927,0.0047236325003310676,6.033830763033207,35.94866280232892,0.1678457637275553
0.0001905867621970569,45,0.07708413030643069,0.004982894770830287,5.863012351142743,33.54512377564067,0.1747798693591809
0.00021482927784928529,45,0.07708095445039706,0.005259810081615064,5.678471866440391,31.578033009874424,0.1798234825034925
0.00024215542616505008,45,0.07707758343216453,0.005555430522822062,5.5047643707997125,29.5846829316775,0.18606805364498913
0.00027295744326951457,45,0.07707402357901882,0.005871063843456318,5.320730804268419,27.80654478979174,0.19134814643433398
0.0003076774574749694,45,0.07707029117575791,0.006207552043731315,5.176732099471236,26.104118134246573,0.19831093595471172
0.0003468138355354908,45,0.07706641110618333,0.006566064226683812,5.021543658798322,24.508496545274905,0.20488991030209325
0.0003909283361411804,45,0.07706241513920922,0.00694821714282791,4.853172174554959,23.033016840494156,0.21070501568096947
0.0004406541733323451,45,0.07705835154737013,0.0073551947796419185,4.729429410539286,21.642231509985017,0.2185278079275628
0.0004967051055748684,45,0.07705428875146046,0.007788220708354411,4.587178992382646,20.37546987519145,0.22513242739820818
0.0005598856809602161,45,0.07705030744583423,0.008249264258294307,4.444006249401833,19.13925690317501,0.23219324929299115
0.0006311027855884098,45,0.07704651473237542,0.008740001178844265,4.328616348538471,17.979850021816212,0.2407481899619135
0.000711378660898013,45,0.07704305766463428,0.009261698049421204,4.203362224347349,16.943630006477612,0.24807920278827267
0.0008018655767922561,45,0.07704010702765102,0.009816725263653129,4.076646153360767,15.929972206794725,0.25591043728387125
0.0009038623711775357,45,0.07703787690912656,0.010407362145732995,3.968904012526012,14.959307101691666,0.2653133588037239
0.0010188330933207446,45,0.07703665445183872,0.011035013968398623,3.85865904411583,14.108867926754732,0.27349175455803265
0.001148428018629873,45,0.07703677348729489,0.011702477070017309,3.7465826556458874,13.275247604230838,0.28222318463212304
0.0012945073365014173,45,0.07703863885730287,0.012412758296624506,3.6460560791823378,12.460292776687456,0.29261399748197564
0.0014591678512469919,45,0.0770427809211823,0.013167586415810208,3.5491407189516093,11.764082970516142,0.3016929349993905
0.0016447730793609408,45,0.07704982177207206,0.013970201346922635,3.450305309064774,11.074290042458497,0.31155995516069346
0.0018539871751413412,45,0.07706049999638606,0.014824481438359969,3.356719612289359,10.388908180812766,0.32310610064770273
0.0020898131716285636,45,0.07707576017132887,0.015732794864225717,3.271970419728129,9.813428839171841,0.33341765384465466
0.0023556360857670375,45,0.07709672535771903,0.016698841634217438,3.1849824093609818,9.247423340310467,0.3444183630565851
0.002655271506516335,45,0.07712470965811236,0.017727550385522355,3.0981357244429657,8.670595181811832,0.35731523147821465
0.002993020363339258,45,0.07716135182123299,0.018822439578393763,3.024339836058993,8.197124903343047,0.36895129349872025
0.0033737306612070007,45,0.07720863315507796,0.019987700857468035,2.9481938264612557,7.73078800995199,0.38135747903912887
0.003802867068257919,45,0.07726884421945761,0.02122959038921312,2.8701717267168694,7.257557401938282,0.3954735137128013
0.004286589354962516,45,0.07734477703147774,0.02255347295905513,2.8045842837024115,6.865178524805214,0.40852313943022633
0.004831840810700605,45,0.07743985371833058,0.023964219781408464,2.7376817868287957,6.472709255381305,0.4229576331661675
0.0054464479068711815,45,0.0775579939053783,0.02546991804555223,2.6688659236881676,6.085123087609148,0.43858865059322577
0.006139232637086878,45,0.07770388774729135,0.027078473120387365,2.6097120333827037,5.754961231699663,0.45347169656118197
0.006920139146970107,45,0.07788331545285347,0.028796180362464455,2.5509791354581175,5.430002173921089,0.4697933911904891
0.007800376471179239,45,0.07810286435756221,0.030633635167116254,2.491910549162531,5.123467235330044,0.4863719107988024
0.008792579426494238,45,0.07837027949322059,0.03260229973835998,2.4356667251000426,4.828781581581966,0.5044060668202947
0.009910989970401044,45,0.07869509253172158,0.03471120876069933,2.385627547530495,4.571692356190834,0.521825915144959
0.011171661628373283,45,0.07908813571612844,0.03697454740521525,2.333814578661709,4.320385768566016,0.5401866184362338
0.01259268992417493,45,0.07956190821991858,0.03940888535184612,2.2818963791535474,4.074904696726083,0.5599876681746464
0.01419447212075176,45,0.08013166602827836,0.04202818516440365,2.238327953169934,3.8678619776949055,0.57869902444241
0.016,45,0.08081472437855654,0.04485197965619743,2.192039546105174,3.6626450253684393,0.598485392639071
