r,theta_deg,Y1,Y2,J,lam1,lam2,n_cells,n_steps,n_r,n_theta_base,n_sectors,angular_scheme,corner_angle_right,corner_angle_left
0.00015000000000000004,135,0.024714606124866565,0.011986179044650321,15.974248997231443,38.6918289552506,0.41285846207241206,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00016907990516190437,135,0.024699734232256194,0.012635601252852057,15.383837321926789,36.587066418556184,0.42047200904124366,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0001905867621970569,135,0.02468298671597456,0.013330677172554846,14.704518432781558,34.640810442497575,0.42448540449665456,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00021482927784928529,135,0.024664132141976207,0.014073153559069898,14.142995879006108,32.785991668700206,0.4313731309981237,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00024215542616505008,135,0.024642912003910132,0.01486586662129765,13.54442342490437,30.967174205686096,0.4373800248915232,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00027295744326951457,135,0.024619035521619342,0.015712318536400646,12.884368417086923,29.252692388030436,0.44045068557031847,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003076774574749694,135,0.024592175639764433,0.01661473563184217,12.344574310518347,27.66885874111718,0.4461540834054224,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003468138355354908,135,0.024561967618752942,0.017576270050882414,11.79711864670028,26.10825266465206,0.4518540094670143,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003909283361411804,135,0.02452800160805531,0.01860122696636175,11.163325689392304,24.603752953058844,0.45372450742335885,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004406541733323451,135,0.02448981665187166,0.019692727097248026,10.721772174054534,23.260210265800673,0.46094906501420774,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004967051055748684,135,0.024446900551469485,0.02085402150892129,10.207952568174681,21.950060069027003,0.46505351402567785,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0005598856809602161,135,0.024398677897166,0.022090341241993685,9.718438601106934,20.65657348623574,0.47047680040364886,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0006311027855884098,135,0.02434450220039863,0.02340602444820525,9.228287491792418,19.530099732495263,0.4725161478022829,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.000711378660898013,135,0.024283656421702802,0.02480439001448517,8.801341947581788,18.41646021295084,0.47790627763489213,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0008018655767922561,135,0.024215337065803925,0.026291660380681744,8.335209234262509,17.347534999282164,0.4804837825435784,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
