r,theta_deg,Y1,Y2,J,lam1,lam2,n_cells,n_steps,n_r,n_theta_base,n_sectors,angular_scheme,corner_angle_right,corner_angle_left
0.00015000000000000004,135,0.1882655360257854,0.01848460629490083,7.770831958974314,58.77312645652806,0.1322174338422865,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00016907990516190437,135,0.1881990502610011,0.019466599907905856,7.718390294388985,55.35652292893922,0.1394305474049403,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0001905867621970569,135,0.18812443106816995,0.020515335169160268,7.161530283002659,52.582429225550975,0.1361962615352904,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00021482927784928529,135,0.18804085016519198,0.021631452687394047,7.181226832197988,49.63387434402712,0.14468398703731086,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00024215542616505008,135,0.18794702082369716,0.02282157908715513,7.04386302558863,46.58658331265168,0.15119939099912613,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00027295744326951457,135,0.18784176989641793,0.02408992016086002,6.539083717660427,44.15433408026891,0.1480960783095435,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003076774574749694,135,0.18772413896012266,0.025435172330977324,6.483471005074092,41.55241927390005,0.15603113172143335,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003468138355354908,135,0.1875922435026551,0.026866003133891404,6.414423912503144,39.006086885910975,0.16444674215293092,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003909283361411804,135,0.1874443677185883,0.028388360707592823,5.8527662037231085,36.60177552819282,0.15990388770140565,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004406541733323451,135,0.18727940908229787,0.029999100824990126,6.064741249205968,34.726829274375554,0.17464137601804303,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004967051055748684,135,0.18709470488010135,0.03170837879845809,5.8307478982132785,32.52009549298594,0.17929676434939634,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0005598856809602161,135,0.1868878829139756,0.03352337658250033,5.742613791688271,30.421882492567814,0.18876589221902765,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0006311027855884098,135,0.18665729334357678,0.03544223915267072,5.363261100537519,28.83201468798068,0.18601756271891065,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.000711378660898013,135,0.1863996784980671,0.037472930816833686,5.291884850371645,27.009269172530338,0.1959284724282069,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
