r,theta_deg,Y1,Y2,J,lam1,lam2,n_cells,n_steps,n_r,n_theta_base,n_sectors,angular_scheme,corner_angle_right,corner_angle_left
0.00015000000000000004,178,0.12705966301276783,0.014252635121726042,6.43818240121405,41.27410408580489,0.15598600002982102,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00016907990516190437,178,0.12700718246726375,0.015016795222878297,6.263913371369054,39.16162922357114,0.15995027519462107,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0001905867621970569,178,0.12694813824339296,0.015833946330076946,6.079732860696687,37.040551891003965,0.16413721044376137,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00021482927784928529,178,0.12688191682282318,0.016705759814628896,5.9386301122076475,35.147697960782104,0.16896213569448593,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00024215542616505008,178,0.12680744258428592,0.01763516225598311,5.76351431664364,33.20247785145931,0.17358687331784334,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.00027295744326951457,178,0.12672386991777287,0.01862651150408078,5.610296721942925,31.406916465224345,0.17863252281216618,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003076774574749694,178,0.12663008962734168,0.01968082255792112,5.4546503536220055,29.687905785698238,0.18373307949019513,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003468138355354908,178,0.12652469299939414,0.020803574677175588,5.279343779678177,27.950576321260716,0.18888139260534687,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0003909283361411804,178,0.1264067350148137,0.021997312862237096,5.152391136801659,26.453536391287255,0.1947713553525246,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004406541733323451,178,0.1262742502274715,0.023265220083035748,4.993809907205286,24.920252904069592,0.20039162228542248,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0004967051055748684,178,0.12612573942795027,0.024613686817338477,4.850633195361235,23.49490164797567,0.20645471379440056,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0005598856809602161,178,0.12595939330380015,0.0260435353774631,4.71340048889458,22.163838978928094,0.21266173668643557,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0006311027855884098,178,0.1257726735657263,0.027561736901076852,4.560000546049294,20.81387424586187,0.219084659212728,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.000711378660898013,178,0.12556397127801247,0.02917241353837056,4.4412785989576165,19.656964700799655,0.22593918575713387,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0008018655767922561,178,0.12532996541030453,0.03087839422527705,4.301764778467535,18.486881022125164,0.23269283625075068,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0009038623711775357,178,0.1250679352185004,0.032688612582817564,4.171134020807415,17.384807438837925,0.23992983732951983,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0010188330933207446,178,0.1247750288719263,0.034603666083411144,4.052006417712452,16.378549043014665,0.24739715386697136,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.001148428018629873,178,0.12444675049126282,0.036631759484152,3.9179258951687754,15.358518660760792,0.25509790245453884,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0012945073365014173,178,0.12408032167070936,0.03877920997762362,3.8110623444298772,14.473032921798314,0.263321610958944,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0014591678512469919,178,0.1236703451304247,0.0410477198643369,3.6893730960884925,13.59408281283498,0.2713955142752062,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0016447730793609408,178,0.1232119037690227,0.04344903227320955,3.57169531701079,12.753317593923189,0.2800600934389241,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0018539871751413412,178,0.12270070305500458,0.04598347756171635,3.4687616130319956,12.001784242088167,0.28902049420850645,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0020898131716285636,178,0.12212892004684309,0.04865964613247044,3.3524428009221467,11.239525383857321,0.2982726304205917,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0023556360857670375,178,0.1214918300035972,0.051486571236868395,3.25544849037687,10.567217890309971,0.3080705370296274,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.002655271506516335,178,0.12078099229496411,0.05446356293013131,3.1509953626575413,9.912795173408322,0.31787152942597385,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.002993020363339258,178,0.11998768104991878,0.05760482311206325,3.045619893885612,9.275887654633715,0.32833729851870286,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0033737306612070007,178,0.11910586546417165,0.060910360407936404,2.9566124336622144,8.718099228128953,0.3391349830158886,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.003802867068257919,178,0.1181222813855959,0.06438707454551004,2.8558589075132628,8.151827952052257,0.35033356006910366,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.004286589354962516,178,0.11702914083515246,0.06804689522950302,2.768246103437396,7.643767802000912,0.3621572731072055,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.004831840810700605,178,0.11581396018547922,0.07188463404064067,2.678323720280189,7.158811813352481,0.3741296447106957,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.0054464479068711815,178,0.11446173530220342,0.07591524493667869,2.584142665059655,6.678462443512888,0.3869367667957378,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.006139232637086878,178,0.11296498126834534,0.08013851255663691,2.506956559814989,6.26614845721704,0.40007934330499156,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.006920139146970107,178,0.11130208876373902,0.0845553006722718,2.419561257627462,5.847321827809828,0.4137896508654754,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.007800376471179239,178,0.10946088599524048,0.08917998191878314,2.3406276581519325,5.465082041186229,0.4282877439921877,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.008792579426494238,178,0.10742449252531562,0.09399978072508175,2.262969722580748,5.107538905097458,0.4430646079508596,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.009910989970401044,178,0.10516861669855725,0.09902647465380666,2.1791890715996436,4.748114143507369,0.45895886361104155,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.011171661628373283,178,0.10268533486563729,0.1042606605507087,2.1119860500635252,4.444857046963903,0.47515275018936914,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.01259268992417493,178,0.09994225477486025,0.10968992940781332,2.036262393183766,4.137840926695512,0.492107461175397,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.01419447212075176,178,0.09692140996397985,0.11533058445085968,1.965666801918992,3.853514075139846,0.5100972160968805,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
0.016,178,0.0936029296319988,0.12115981986259476,1.899021118380725,3.5938241515103666,0.5284123647459603,15360,18,64,120,120,corner-snapped-v1,0.08314123188844123,2.976443976175166
