tag,material,lam,a,G_J,G_spec,GJ_err,P_meas,P_pred,P_err,J_exp,open_exp,inplane_exp,plateau,spread,ncells,dmin_tag
MR_a2,MR,1.5999999999999992,2.0,1.8996629063506079,1.9012499999999957,0.0008347632606904977,1.1278389774114472,1.1001696879181235,0.02515001985346727,-0.25278513766485167,0.4700466904370706,1.2586058406076428,0.7365735469108937,0.0520408251540001,15360,False
MR_lam13,MR,1.2999999999999996,3.0,0.5635578593098788,0.5634319526627207,0.00022346380350464086,0.6168343589892941,0.5989089425353099,0.02993011989118417,-0.2497818293663209,0.44789485944944074,1.2690453688172683,0.5429817899517351,0.09058384729158026,15360,False
MR_lam15,MR,1.4999999999999987,3.0,1.3888573200370038,1.3888888888888822,2.272957335243586e-05,0.9658843514846669,0.9403159725795915,0.027191262991027365,-0.25241834180666756,0.4657091601671734,1.2608952419854234,0.6805675454520724,0.059307937813612085,15360,False
MESH_nr48,MR,1.5999999999999985,3.0,1.9019658406231343,1.9012499999999921,0.00037651051841800426,1.1294841632150399,1.1001696879181224,0.02664541262938259,-0.2534408175094577,0.46988980638104044,1.2586383901663758,0.7378492056320441,0.0515692747833142,11520,True
MESH_nr96,MR,1.5999999999999985,3.0,1.9003766071635888,1.9012499999999921,0.0004593782177006243,1.1280039469269025,1.1001696879181224,0.025299969008827677,-0.25250553810506904,0.4700675042040995,1.2586207781720966,0.7352920932151852,0.052217641449336764,23040,True
MR_lam16,MR,1.5999999999999985,3.0,1.9008647126262506,1.9012499999999921,0.00020264950624144707,1.1284758869554272,1.1001696879181224,0.02572893922470206,-0.2526208724028395,0.47001211438182483,1.2586207647204097,0.7368426266960284,0.051422218739844296,15360,False
MR_lam16_c2_3,MR,1.5999999999999985,3.0,3.800267097267312,3.8024999999999842,0.0005872196535627648,1.5966615553948182,1.5558748935655842,0.026214615325377257,-0.26852193535516533,0.453178858234893,1.2607804648368848,0.8510847709220704,0.057806791074151986,15616,False
MR_lam16_c2_third,MR,1.5999999999999985,3.0,1.268135838342364,1.2674999999999947,0.0005016476073919103,0.9216639876658882,0.8982847886254705,0.026026488855713476,-0.235909679560495,0.4781101562068214,1.2720565871808711,0.6872541430870552,0.07641514580732187,15616,False
MR_lam18,MR,1.799999999999998,3.0,3.095087014820011,3.097283950617271,0.0007093104256141503,1.4374418459175997,1.404205185718857,0.02366937576984357,-0.2525935910407734,0.4752002402080405,1.2557556061596988,0.8339779564546055,0.04175657516952419,15360,False
MR_lam22,MR,2.2,3.0,6.077625856171235,6.093223140495869,0.00255977566634221,2.0111216570253703,1.9695345462030767,0.021115197447268134,-0.25222738771024844,0.48014293507110845,1.25297006749649,0.9904231454465593,0.03236489534238794,15360,False
MR_a4,MR,1.5999999999999985,4.0,1.9015490562292707,1.9012499999999921,0.0001572945321649531,1.129120489607273,1.1001696879181224,0.02631485125166005,-0.25310126704336566,0.46996091956102287,1.2586410700316337,0.736881777619498,0.052188555380694786,15360,False
MR_a5,MR,1.5999999999999985,5.0,1.9024581663185336,1.9012499999999921,0.0006354589446635038,1.1299923859088477,1.1001696879181224,0.027107361999001666,-0.2532511678190163,0.46990141984249645,1.2586699899557245,0.7371018576582655,0.05150459292423818,15360,False
NH_lam15,NeoHookean,1.5,3.0,0.6948126978785983,0.6944444444444446,0.000530284945181325,0.6830409731811764,0.6649038006690545,0.027277889664446924,-0.43200349542938987,0.48355879945924585,0.9603419920998092,1.3397230711137091,1.015141956627876,15360,False
NH_lam18,NeoHookean,1.799999999999998,3.0,1.5494806468188567,1.5486419753086356,0.0005415528725120332,1.0158937466850895,0.9929230089991192,0.023134460051565407,-0.4376194986924621,0.48713032608168805,0.9649851761821935,1.9262745332596745,1.1215622283697382,15360,False
